EmployeeNumber,Name,gender,Branch,Date of join,Date of leaving
23,Ulberto Wallworke,Male,New York,12-02-2019,
24,Dewain Sextone,Male,New York,22-01-2018,
33,Torrin Crudgington,Male,New York,26-03-2018,
83,Flinn Cooling,Male,New York,04-07-2018,
94,Olav Atwel,Male,New York,16-12-2018,
95,Mord Huertas,Male,New York,23-08-2018,
112,Ennis Bufton,Male,New York,24-12-2018,
118,Stavros Letcher,Male,New York,18-01-2019,
131,Burl Giroldo,Male,New York,27-08-2018,
132,Leonhard Stampe,Male,New York,21-11-2018,
144,Hanson Heale,Male,New York,09-07-2018,
154,Erskine Ipsley,Male,New York,09-05-2018,
170,Bran Swadlen,Male,New York,08-06-2018,
171,Evyn Tidey,Male,New York,11-01-2018,
183,Quill Steanson,Male,New York,21-09-2018,
194,Webb Arnson,Male,New York,29-07-2018,
208,Lucas Noddle,Male,New York,27-07-2018,
216,Seamus Stacey,Male,New York,12-01-2018,
223,Averil Baddiley,Male,New York,18-08-2018,
231,Corbet Vearncombe,Male,New York,16-10-2018,
242,Heriberto Tinline,Male,New York,14-06-2018,
261,Thaddus Fulmen,Male,New York,13-04-2018,
298,Pedro Dory,Male,New York,16-02-2019,
319,Nicola Carwithan,Male,New York,12-02-2018,
349,Kirby Drewell,Male,New York,25-07-2018,
352,Aguistin Andri,Male,New York,13-04-2018,
379,Cori Webber,Male,New York,29-09-2018,
384,Brenden Russ,Male,New York,20-11-2018,
394,Hazel Fussen,Male,New York,29-01-2018,
401,Kareem Ratie,Male,New York,21-03-2018,
403,Hamel Hartzogs,Male,New York,24-02-2018,
431,Nicol Buncom,Male,New York,18-01-2018,
438,Kelly Bearns,Male,New York,24-02-2019,
440,Rodolph Comiskey,Male,New York,25-12-2018,
451,Eamon Graalman,Male,New York,11-09-2018,
453,Hillier Mughal,Male,New York,27-04-2018,
456,Bay Burnsyde,Male,New York,16-05-2018,
461,Ezechiel Yanukhin,Male,New York,26-06-2018,
463,Sanford Alcoran,Male,New York,10-07-2018,
501,Rodolfo Fathers,Male,New York,02-02-2018,
507,Cleve Getch,Male,New York,20-02-2019,
543,Nick Eakins,Male,New York,15-02-2018,
554,Shaughn Borless,Male,New York,27-07-2018,
574,Lionel Frisby,Male,New York,30-03-2018,
586,Thane Price,Male,New York,23-02-2018,
606,Thornton Caughte,Male,New York,10-07-2018,
615,Walker Goscar,Male,New York,08-06-2018,
656,Adham Charlon,Male,New York,01-02-2019,
659,Morly Cuppleditch,Male,New York,01-08-2018,
663,Justen Schwandt,Male,New York,07-02-2019,
671,Heall Foulcher,Male,New York,06-01-2018,
675,Aluin Shegog,Male,New York,07-07-2018,
691,Cobby Avramovich,Male,New York,18-11-2018,
699,Howie Garwood,Male,New York,31-01-2018,
701,Rooney Stokoe,Male,New York,27-11-2018,
710,Ned Frost,Male,New York,08-08-2018,
712,Sammie Mardlin,Male,New York,20-11-2018,
724,Ric Immins,Male,New York,12-02-2019,
730,Gaile Thurske,Male,New York,13-06-2018,
744,Urbain Coning,Male,New York,25-12-2018,
757,Dennet Whybrow,Male,New York,16-12-2018,
772,Stephanus Bordis,Male,New York,25-01-2018,
789,Laird Celloni,Male,New York,05-07-2018,
797,Lamond Humbell,Male,New York,08-09-2018,
805,Mackenzie Blasli,Male,New York,24-02-2019,
811,Quinn O'Sheerin,Male,New York,08-02-2019,
836,Jedd Teodoro,Male,New York,30-01-2018,
845,Maxy MacCostigan,Male,New York,03-09-2018,
851,Holly Camber,Male,New York,07-05-2018,
852,Eldon Lyst,Male,New York,15-10-2018,
864,Symon Abbay,Male,New York,04-06-2018,
869,Kahlil Ratnege,Male,New York,11-01-2019,
896,Ulrick Gatenby,Male,New York,25-06-2018,
920,Rod Alcorn,Male,New York,31-03-2018,
947,Barry Joanic,Male,New York,04-03-2018,
952,Lemmy Tatum,Male,New York,12-02-2019,
956,Currey Bambrick,Male,New York,04-09-2018,
959,Homer O'Day,Male,New York,06-07-2018,
975,Herculie Pendred,Male,New York,18-05-2018,
991,Giuseppe Trusdale,Male,New York,13-03-2018,
997,Harald Ornelas,Male,New York,28-01-2019,
1009,Paxton Wolseley,Male,New York,18-06-2018,
1010,Hodge MacAiline,Male,New York,08-01-2018,
1017,Luke Brownsworth,Male,New York,19-10-2018,
1044,Barn Lente,Male,New York,20-09-2018,
1047,Klaus Parkins,Male,New York,28-03-2018,
1048,Diego Lourenco,Male,New York,30-01-2018,
1049,Burnard Plampeyn,Male,New York,10-05-2018,
1050,Gabby Ambroix,Male,New York,30-01-2018,
1053,Dunstan Tatam,Male,New York,16-04-2018,
1062,Kele Waye,Male,New York,23-01-2019,
1070,Anatole Leamon,Male,New York,05-02-2018,
1071,Hirsch Spraggs,Male,New York,30-01-2019,
1081,Gabby Bolduc,Male,New York,12-09-2018,
1092,Goraud Eakle,Male,New York,05-02-2019,
1137,Christy Buttery,Male,New York,16-08-2018,
1175,Peyton Kleinberer,Male,New York,14-01-2018,
1188,Siffre Chalfant,Male,New York,27-10-2018,
1190,Quinlan Raynes,Male,New York,02-10-2018,
1193,Natale Tulley,Male,New York,04-06-2018,
1239,Archy Poynton,Male,New York,02-06-2018,
1243,Raimund Deverill,Male,New York,15-12-2018,
1248,Dario Shelper,Male,New York,26-08-2018,
1264,Theobald Renfield,Male,New York,26-02-2018,
1269,Nilson MacVicar,Male,New York,04-04-2018,
1275,Vergil Gabbatiss,Male,New York,06-07-2018,
1277,Brucie Liddicoat,Male,New York,20-12-2018,
1285,Davide Robbert,Male,New York,06-06-2018,
1294,Harman Tilio,Male,New York,18-01-2018,
1304,Jose Lowndsborough,Male,New York,02-05-2018,
1321,Tirrell Stonall,Male,New York,28-06-2018,
1329,Chance Ireson,Male,New York,25-11-2018,
1331,Travus Bowden,Male,New York,25-08-2018,
1346,Binky Fulbrook,Male,New York,08-06-2018,
1356,Lanie Margetts,Male,New York,30-04-2018,
1367,Artemus Trickett,Male,New York,20-04-2018,
1372,Lemmy O' Mullane,Male,New York,15-03-2018,
1382,Bartholomew Skilling,Male,New York,30-09-2018,
1389,Gabie Jachimak,Male,New York,16-10-2018,
1391,Blake Hopkyns,Male,New York,14-08-2018,
1395,Boigie Rumford,Male,New York,01-11-2018,
1396,Kristos Wycliff,Male,New York,20-07-2018,
1399,Dermot Domesday,Male,New York,24-10-2018,
1402,Dene Stimpson,Male,New York,11-03-2018,
1424,Hamish Dillicate,Male,New York,30-06-2018,
1435,Jaye McGucken,Male,New York,28-01-2019,
1465,Ozzy Nend,Male,New York,08-01-2019,
1478,Jecho Bayly,Male,New York,03-09-2018,
1484,Hoebart Rumble,Male,New York,08-07-2018,
1495,Jerry Oganian,Male,New York,14-08-2018,
1497,Bil Neave,Male,New York,01-02-2019,
1507,Arv World,Male,New York,11-09-2018,
1515,Kennedy Shotboult,Male,New York,15-09-2018,
