EmployeeNumber,Name,Will be retrenched
587,"Linda Blucher",0
532,"Herb Dalgarnowch",0
137,"Jami Linfield",0
1030,"Cybil Rawood",0
1083,"Vaughan Cayford",0
1772,"Ranique Haggus",0
11,"Reamonn Reneke",0
923,"Oates Christou",0
14,"Mel Pennigar",0
15,"Alana Syder",0
16,"Lutero Hugk",0
18,"Mora Dunkerton",0
19,"Kristoffer Askam",0
20,"Wynne Bucham",0
21,"Simmonds Pond",0
22,"Alonzo Wardle",0
65,"Barbaraanne Roback",0
24,"Dewain Sextone",0
26,"Dylan Georg",0
492,"Kippie MacCard",0
28,"Dell Gligorijevic",0
30,"Bridie Setterthwait",0
31,"Valaria Baden",0
32,"Orville Tessyman",0
712,"Sammie Mardlin",0
35,"Adams Dirand",0
970,"Wyndham Tomczykiewicz",0
38,"Olympe Dawkes",0
710,"Ned Frost",0
40,"Amelita Chambers",0
41,"Janaye Roath",0
42,"Dyann Regina",0
45,"Dorolisa Myring",0
1813,"Pryce Astridge",0
47,"Mitch Harlett",0
49,"Patric Bunce",0
51,"Marsh Iggalden",0
52,"Koren Callinan",0
54,"Clemence Faers",0
55,"Lothario Lyst",0
56,"Rozanna Layborn",0
57,"Pen Baynham",0
58,"Malvina Laban",0
60,"Dulsea Gherardelli",0
61,"Charity Franz",0
62,"Dallas Peacey",0
63,"Clair Bromhead",0
64,"Sofia Whiston",0
68,"Darleen Stidston",0
70,"Vikki Westcot",0
72,"Vincenz Thurlbourne",0
73,"Scotti Whewell",0
1309,"Vernen Robichon",0
75,"Derron Spurden",0
872,"Page Creamer",0
77,"Ebba Fitchell",0
78,"Minna Gellion",0
81,"Murvyn Avrahamy",0
83,"Flinn Cooling",0
84,"Giraud Cogan",0
1116,"Loni Guyet",0
86,"Giff Claussen",0
88,"Wally Verni",0
924,"Lela Ginnelly",0
91,"Odelia Yandell",0
95,"Mord Huertas",0
1415,"Jeremy Skellion",0
97,"Iver Sabberton",0
98,"Rochelle Haliburton",0
100,"Sidonnie Blethyn",0
101,"Broddie Threlfall",0
600,"Catherina Gosnoll",0
1269,"Nilson MacVicar",0
104,"Merry Jephcote",0
105,"Rowan Chilver",0
106,"Dalis Tylor",0
107,"Vikki Kinge",0
110,"Crissy Darrigrand",0
1131,"Joela Hargess",0
113,"Cairistiona Beavon",0
982,"Olympie Lanyon",0
880,"Quintin O'Noland",0
118,"Stavros Letcher",0
119,"Braden Berends",0
1061,"Brenn Lonsdale",0
121,"Taddeusz Lerway",0
1198,"Torrance Arboine",0
125,"Neall Heddon",0
126,"Marylee Olanda",0
129,"Lynelle Sawford",0
131,"Burl Giroldo",0
746,"Trueman Crathern",0
133,"Morie Beecker",0
134,"Sofie Murney",0
137,"Jami Linfield",0
138,"Ernest Gadaud",0
139,"Rasia Rickard",0
140,"Teddy Bugge",0
141,"Gillan Lebourn",0
143,"Gideon Daborn",0
659,"Morly Cuppleditch",0
145,"Josy Joynes",0
147,"Muffin Simmonett",0
148,"Nanice Bucke",0
150,"Dasha Matteini",0
151,"Freeland Gentzsch",0
947,"Barry Joanic",0
1718,"Damon Wilsone",0
1446,"Cathy Caustic",0
155,"Jackie Proffitt",0
158,"Shawn Genicke",0
159,"Farlie Grief",0
160,"Fredericka Lob",0
161,"Mervin Redley",0
163,"Sashenka Hitzmann",0
164,"Mikaela Libby",0
1790,"Derril Tethacot",0
167,"Somerset Gillie",0
1708,"Gilemette Croll",0
170,"Bran Swadlen",0
1912,"Janka Langshaw",0
386,"Eduard Andrieux",0
27,"Renard Shaddick",0
178,"Maiga Persian",0
1457,"Mahalia Stuke",0
1427,"Conroy Greneham",0
842,"Porter MacDonell",0
1631,"Terri Phizackarley",0
190,"Gerrard Broader",0
193,"Barclay Joynt",0
766,"Abram Strike",0
226,"Afton Manuele",0
482,"Dale Gentry",0
198,"Maren Dmitrichenko",0
199,"Ami Gresty",0
2051,"Luigi Philcock",0
201,"Joane Dwyer",0
1258,"Ailyn Seldon",0
204,"Lynna Parmeter",0
1306,"Hermie Shapcott",0
1760,"Terrell Witton",0
207,"Georgy Gostridge",0
208,"Lucas Noddle",0
1475,"Ileana Espino",0
825,"Erie Chadwen",0
215,"Gianna Sowerbutts",0
216,"Seamus Stacey",0
2037,"Klarika Dodson",0
218,"Cirillo Cowe",0
221,"Sheela de Mullett",0
956,"Currey Bambrick",0
437,"Alphard Jeffress",0
227,"Traci Edwicke",0
228,"Jo Gerard",0
230,"Amandi Tallow",0
231,"Corbet Vearncombe",0
235,"Magdaia Anmore",0
238,"Erminie Whatling",0
239,"Kathryn Harfoot",0
240,"Novelia Strut",0
241,"Clarence Bellfield",0
653,"Muhammad Hiscoke",0
1460,"Dal Eginton",0
2041,"Hannis Franklyn",0
245,"Othella Chatenier",0
246,"Gerrilee Kendal",0
1156,"Seana Hasted",0
249,"Bran Elam",0
1569,"Gerri Pendrey",0
252,"Erick Rubenov",0
253,"Jenifer Wybourne",0
254,"Krystle Itzcovich",0
256,"Juanita Coventry",0
258,"Bryn Imlen",0
259,"Merrilee Thornbarrow",0
260,"Letisha Leithgoe",0
844,"Perle Hazzard",0
264,"Julietta Greenard",0
270,"Chic Bentall",0
1772,"Ranique Haggus",0
273,"Abbye Carus",0
274,"Julita Wyeth",0
275,"Nikolos Phelipeaux",0
281,"Jayme Snaddin",0
282,"Corbet Fuggle",0
283,"Norris MacMenamin",0
286,"Starr Danielski",0
799,"Kalila Rides",0
913,"Chickie Gatward",0
291,"Linet Kenshole",0
292,"Smitty Hindmore",0
293,"Edd Comer",0
296,"Drugi Tredgold",0
297,"Eduardo Handke",0
298,"Pedro Dory",0
299,"Ethan Pudsey",0
1642,"Tabb Jarrel",0
302,"Aurelie Tunny",0
347,"Monro O'Shaughnessy",0
474,"Dinnie Zammitt",0
305,"Matthieu Degoix",0
306,"Sammie Gladbeck",0
308,"Nathalia Jordin",0
309,"Gisele Jorn",0
1315,"Dulcinea Derks",0
312,"Mariana Whichelow",0
314,"Sherie Venour",0
315,"Noreen Simenon",0
316,"Dinnie Petruska",0
319,"Nicola Carwithan",0
1026,"Elfreda Brickdale",0
323,"Dimitri MacKeeg",0
325,"Chelsae Crebo",0
327,"Becca Streatfield",0
328,"Hollie Clinch",0
1604,"Enos Rasmus",0
330,"Carly Eveling",0
331,"Mandel Gayther",0
1720,"Marguerite Saward",0
1396,"Kristos Wycliff",0
334,"Garret Crunkhurn",0
335,"Gussi Margach",0
336,"Pammy Charleston",0
604,"Myrlene Braundt",0
338,"Agnese Whale",0
339,"Pascale Paulin",0
1552,"Victoria Lowin",0
341,"Pietro Jaram",0
342,"Janeva Voice",0
